,Intercept,country[T.US]
y140,5.212653053418941e-10,2.041835837366394e-06
y141,0.6475025977691007,0.015719346600202952
y142,0.9566565262960478,0.06867477635719996
y143,4.515617162179915e-05,0.0011729189324630237
y144,2.615267874632292e-15,1.142525569274024e-08
y145,0.24219881655577644,0.14126619780350244
y146,0.24269952167581943,0.9023228274240337
y147,0.09670592816515013,0.1353981867496774
y148,3.119845306245571e-05,0.5035448470320217
y149,0.5199293381230612,0.5199293381230612
y150,0.7070471395159418,0.7070471395159418
y151,0.48480098868387,0.48480098868387
y152,5.489550604200048e-08,0.15672120861809619
y153,0.2997813243442072,0.2439805853356505
y154,0.02797848622658745,0.09176282877062097
y155,0.5666647896420015,0.31331833185896285
y156,6.621434455837841e-10,0.00013249838427376642
y157,0.04700970051868989,0.6080113674799619
y158,0.39516420949582143,0.39516420949582143
y159,0.17578425615754692,0.36551785821057514
y160,0.5014474200203681,0.5014474200203681
y161,9.473996856682808e-05,0.6805352039685354
y162,0.19210722120566395,0.19210722120566395
y163,0.2526115484942837,0.5203536454874083
y164,0.0001687834411723142,0.6021898373964765
y165,3.2794818790672936e-05,0.001189802548182643
y166,0.012666344583291926,0.6305105893169246
y167,0.009906903405318903,0.6178497981002072
y168,0.3390304180148731,6.140576105564588e-05
y169,0.5031004163538949,0.5031004163538949
y170,0.03541657815238706,0.2873924458680481
y171,0.24895407699723368,0.17072241732415344
y172,0.9762129732438102,0.2850975442923898
y173,0.14495861024757886,0.14495861024757886
y174,7.711132356115485e-05,0.0013744068880216858
y175,0.0006180808640648247,0.013098067133587382
y176,0.21132399947480646,0.43284398929137946
y177,0.07604723908532435,0.2410806980664577
y178,0.008513147389997165,0.06188146956657078
y179,0.07181682538037952,0.08097675854464519
y180,0.00013297159132342516,0.002200384578395962
y181,0.0017133315973056479,0.0949746512284293
y182,0.6646182104790348,0.6646182104790348
y183,0.03795685717999778,0.42445779193395905
y184,0.18266447945688702,0.5079583144545399
y185,0.9532453538574068,0.9532453538574068
y186,0.13023450364334024,0.18353998600934912
y187,0.6020218568947229,0.6020218568947229
y188,0.7227801347062093,0.7227801347062093
y189,0.055705723054930704,0.6338702100491918
y190,0.15030167396817326,0.9517005878534868
y191,0.950528242474965,0.950528242474965
y192,0.6333378293539904,0.376877750295537
y193,1.168202062064249e-34,0.01987529811944113
y194,0.4738264026996901,0.4738264026996901
y195,0.8557670767538006,0.8557670767538006
y196,0.30156539410653005,0.30156539410653005
y197,0.7718978170421174,0.7718978170421174
y198,5.891382713987525e-08,0.6678431062499224
y199,0.1265247668586836,0.543721087404512
y200,0.30225553463543225,0.30225553463543225
y201,0.13589430030766286,0.13589430030766286
y202,0.2358914443344403,0.3323732571253806
y203,0.24179518630485108,0.5804981192020799
y204,0.9471351355442081,0.00020749886071905435
y205,0.40381969679061086,0.8812056818514699
y206,0.03152938454533239,0.12687346171184694
y207,0.9999999999999873,0.7684919017498748
y208,0.004943070567230264,0.3628307991093619
y209,0.8354819094174917,0.23015157432904151
y210,0.7999185047425252,0.7999185047425252
y211,0.0025425654946208812,0.42567866343986926
y212,0.00156418730036287,0.5301851604737902
y213,0.09892713843752766,0.8577352978305836
y214,0.3255716321892164,0.6306788410178303
y215,9.13643805097608e-05,0.0013266757226543689
y216,0.5664755548755145,0.5664755548755145
y217,0.402484025015321,0.1405527438282266
y218,0.8425658336557214,0.8174087888427364
y219,0.05990991177494902,0.11694322633430639
y220,0.00031810981522822674,0.006449217741239286
