d_true,d_ancom_bc,d_uq1,d_uq2,d_tmm1,d_tmm2,d_css,d_med,d_wrench,d_tss,group,method,value,method_var,method_abb,label
-1.254931262717312,-0.2607735281788482,11.41279194020668,-0.08125646899385787,11.45651458565427,-0.03753382354626925,7.366445148327599,0.2837916266922495,0.2857334912301512,11.49404840920054,G2,diff_wrench,-0.007074498678070862,0.055,Wrench,"Wrench
(0.055)"
-1.8419374385647258,-0.8145983027010127,10.816271595335808,-0.0922315971308456,10.861964611126046,-0.04653858134060758,6.856461984594587,-0.24526709664143675,-0.2889271640269794,10.908503192466654,G2,diff_wrench,-0.019420019268354016,0.055,Wrench,"Wrench
(0.055)"
-1.7018160369351707,-0.7337330779928767,10.985347925379742,-0.05985929685842973,10.992081746609545,-0.05312547562862715,6.913737350659685,-0.15825273258814665,-0.17356854044705636,11.045207222238172,G2,diff_wrench,0.00534275878127799,0.055,Wrench,"Wrench
(0.055)"
-1.8605441669095697,-0.8447605345888272,10.816271595335808,-0.0706605372608651,10.825762463741212,-0.06116966885546145,6.802394763324311,-0.30139139998356423,-0.3055758681968381,10.886932132596673,G2,diff_wrench,-0.021378043443339267,0.055,Wrench,"Wrench
(0.055)"
-1.3893846803440362,-0.3935980368847488,11.226113078043772,-0.13482602992857545,11.30948254602839,-0.05145656194395638,7.282761179605593,0.14569307741390886,0.15029038148417806,11.360939107972346,G2,diff_wrench,-0.006084806558821931,0.055,Wrench,"Wrench
(0.055)"
-1.5617154212021096,-0.5977701742971839,11.090708441037568,-0.10084027495678219,11.126480414558602,-0.06506830143574847,7.033506484287697,-0.021015455176832492,-0.03947963694748907,11.191548715994351,G2,diff_wrench,0.011354471014771716,0.055,Wrench,"Wrench
(0.055)"
-2.2609452574820974,-1.253647050407365,10.789603348253646,-0.11319167853998076,10.471284738576708,-0.43151028821692,6.522092798170152,-0.561407635693382,-0.4379406332919847,10.902795026793628,G3,diff_wrench,-0.2894143689207205,0.055,Wrench,"Wrench
(0.055)"
-2.228637327329029,-1.1957291408153043,10.796337380434991,-0.1434082190222716,10.528083479428064,-0.4116621200291982,6.593044534142437,-0.49930350751289954,-0.39051986815830786,10.939745599457263,G3,diff_wrench,-0.30452720390132915,0.055,Wrench,"Wrench
(0.055)"
-2.214032217944543,-1.1868984658160102,10.748218132090793,-0.20135958985433544,10.551220830753335,-0.3983568911917918,6.579251212010101,-0.509140281607491,-0.36838175527584144,10.949577721945127,G3,diff_wrench,-0.31206020739930906,0.055,Wrench,"Wrench
(0.055)"
-2.2506707450634895,-1.2361039751114011,10.712372000317657,-0.20665415554868438,10.48158066127324,-0.43744549459310117,6.553933404025811,-0.5058685917662217,-0.4181266617232216,10.91902615586634,G3,diff_wrench,-0.29895382807087567,0.055,Wrench,"Wrench
(0.055)"
-2.288423801817683,-1.2875904201204695,10.705045960225583,-0.1709236038344421,10.447672409861841,-0.4282971541981844,6.517671272912275,-0.6084800417908748,-0.4773104794202351,10.875969564060025,G3,diff_wrench,-0.2775230671280553,0.055,Wrench,"Wrench
(0.055)"
-2.2231806081317047,-1.2819093025923556,10.682740202711285,-0.2580514497645479,10.49581633884003,-0.4449753136358041,6.626717749249025,-0.5988953846973956,-0.4485572990631399,10.940791652475832,G3,diff_wrench,-0.2410330537991725,0.055,Wrench,"Wrench
(0.055)"
-2.0594174110602292,-1.072173894078764,10.89225750231373,-0.21021543803728715,10.666376430988839,-0.43609650936217864,6.70196036600254,-0.4181283798178649,-0.24740381916324516,11.102472940351017,G3,diff_wrench,-0.2784233366275919,0.055,Wrench,"Wrench
(0.055)"
