featureid	Intercept	country[T.US]
Aerococcus	-3.1668360751587894	0.8032062972599485
Facklamia	-2.5288193744141605	0.5538370634132841
Carnobacterium	1.0676576572936032	0.33923268566670206
Granulicatella	2.4347972351592038	0.0603808785492399
Trichococcus	-2.2861130755860355	1.5704603220039823
Enterococcus	4.9989172894042	1.907366516690872
Melissococcus	-1.3281047862488773	1.8046016717964628
Tetragenococcus	-2.334935478540137	1.3411761696154096
Vagococcus	2.4742259460967038	1.538748386006973
Lactobacillus	8.096215673116967	-2.2402201270049584
Pediococcus	-2.0944464724976566	-2.271260318655349
Fructobacillus	-4.253899864526465	0.3145509387070158
Leuconostoc	2.4507271725218747	0.42020452271046427
Weissella	2.2030581909697506	-3.691074190039016
Lactococcus	1.123497195867822	-1.3628740881866
Streptococcus	8.683164306310937	-0.18772107114253256
Caloramator	-2.7194645923096683	1.1806190411263922
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium	6.152490400103853	2.0702360297256925
Sarcina	5.7716647017281515	-5.5562227343505395
Anaerococcus	1.0934202152770016	1.6647833312565306
Finegoldia	0.8281170803587887	1.6585493112617948
Peptoniphilus	2.36457867207937	1.3819534803444364
Anaerovorax	-1.7981036227662113	0.12137145052494791
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiales Family XIII. Incertae Sedis_Eubacterium	0.012992568640038726	-1.3871536826079867
Mogibacterium	0.2860276180785153	-1.1817815874999544
Anaerofustis	-1.5933168452698734	1.6930697287136534
Bacteria_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium	1.8692476231139157	1.1163164700085142
Anaerostipes	0.6933266598265622	1.5093467558437803
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides	-3.311333946557715	-0.2689309691375277
Blautia	5.141610510973261	1.646931501727722
Butyrivibrio	-1.2585928958375003	1.08547893415036
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium	6.026207738881932	2.004592599969528
Coprococcus	3.642747350363062	1.413504781823776
Dorea	4.579420276312159	-1.441440639395096
Epulopiscium	3.1802288967650396	2.1347929860168913
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Eubacterium	1.712038226751611	1.161299290757797
Lachnobacterium	3.558809705404566	1.3734890992456892
Lachnospira	4.54819650235586	2.3403806115204313
Moryella	0.6548430401366208	-0.14989119519648764
Oribacterium	-0.6367090266663578	0.9566873932892301
Pseudobutyrivibrio	-3.1642401736695316	0.43051898727955606
Roseburia	5.324946053652094	1.798251333337448
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus	6.030710293306039	3.2180511380249484
Shuttleworthia	-4.033961586328223	0.4660026455933073
Desulfitobacterium	-2.022115997644141	0.7864373053127744
Desulfosporosinus	-3.4829142611939456	0.717881950240753
Peptococcus	0.8581149059813473	-1.9369855498260033
Peptostreptococcus	0.7548906284850094	0.8562213207298734
Tepidibacter	-4.4899094623047855	0.20776826391758707
Anaerotruncus	0.5979525524657223	2.601513567071579
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides	2.603214450506494	1.132060329120777
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium	3.778186031011866	2.9361942435318453
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Eubacterium	2.3076796013396237	2.1336435700470426
Faecalibacterium	7.652093954710291	0.6994216466957548
